gene	baseMean	log2FoldChange	padj	Comparison
AC010422.6	40.5335514039958	-23.4355990372938	4.61758679150644e-05	Short Survivor Screening vs. Long Survivor Screening
AC104843.1	2.73164111835751	-23.1386439214543	0.00131988117337477	Short Survivor Screening vs. Long Survivor Screening
PWRN1	4.89323159526833	-20.9976378604338	5.81109068958609e-19	Short Survivor Screening vs. Long Survivor Screening
PMP2	7.72181954664037	-18.2988607807288	0.000123289245239742	Short Survivor Screening vs. Long Survivor Screening
PF4V1	7.99053536041847	-16.9472157682006	0.000499849939626776	Short Survivor Screening vs. Long Survivor Screening
HBG2	170.871631399596	-5.56234407812229	0.054544911412747	Short Survivor Screening vs. Long Survivor Screening
SYNC	79.5992845008834	-5.43601197267051	0.0155376892700453	Short Survivor Screening vs. Long Survivor Screening
RNU12	107.967922071198	-5.1092857298333	0.0112465030723862	Short Survivor Screening vs. Long Survivor Screening
DOK6	28.2322817766132	-4.93052466983382	0.0974731679504973	Short Survivor Screening vs. Long Survivor Screening
SNORD14C	31.9605366199571	-3.87353095637783	0.0214400884916139	Short Survivor Screening vs. Long Survivor Screening
CCDC107	20.2115063726164	1.34004413200962	0.0703674303749754	Short Survivor Screening vs. Long Survivor Screening
C17orf107	44.3409305429582	1.88518407986528	0.0598898419712763	Short Survivor Screening vs. Long Survivor Screening
LMNA	1943.47695866012	2.05301241188281	0.0967231563278787	Short Survivor Screening vs. Long Survivor Screening
RGPD1	336.767150807966	2.16544939421801	0.0214400884916139	Short Survivor Screening vs. Long Survivor Screening
ITGB2-AS1	58.7591919826175	2.33150375305873	0.0450703568893578	Short Survivor Screening vs. Long Survivor Screening
RGPD2	364.656350047447	2.33239745266225	0.0155376892700453	Short Survivor Screening vs. Long Survivor Screening
DUSP4	52.2579372630568	2.54160514452019	0.0974731679504973	Short Survivor Screening vs. Long Survivor Screening
AP001931.1	6.75919426496145	2.57036070709976	0.0191246998955244	Short Survivor Screening vs. Long Survivor Screening
AL021877.1	3.82105081928311	2.60781611522818	0.0974731679504973	Short Survivor Screening vs. Long Survivor Screening
PTPRO	42.3022084222962	2.78060600335805	0.0974731679504973	Short Survivor Screening vs. Long Survivor Screening
CCR5	34.9426353963684	2.98702882451278	0.0888931848166826	Short Survivor Screening vs. Long Survivor Screening
CDH23	109.069748362187	3.20767018431364	0.00384099134802381	Short Survivor Screening vs. Long Survivor Screening
IFI30	140.424738689045	3.73727685733476	0.0974731679504973	Short Survivor Screening vs. Long Survivor Screening
PCDHA4	6.15596562930385	4.48034775507851	0.0191246998955244	Short Survivor Screening vs. Long Survivor Screening
DNAH2	36.0209283375359	5.51900026500967	0.000696988378446202	Short Survivor Screening vs. Long Survivor Screening
CEMP1	7.87503828346228	5.80071331918136	0.0689855989679133	Short Survivor Screening vs. Long Survivor Screening
CSPG4	12.0217861527145	5.96529462272222	0.0136374325868512	Short Survivor Screening vs. Long Survivor Screening
MTRNR2L1	6846.93582939224	8.67931488038982	0.000901052506448982	Short Survivor Screening vs. Long Survivor Screening
NDST4	12.1205718127956	23.6763302829346	0.000706815727965654	Short Survivor Screening vs. Long Survivor Screening
TNFSF12-TNFSF13	5.83799559390937	31.975623383768	2.75833957801423e-08	Short Survivor Screening vs. Long Survivor Screening
TPSD1	11.3929542952329	-6.68981178370656	0.0710315417998795	Short Survivor Screening vs. Short Survivor PC2
ANGPT2	16.6358251383103	-4.98020964911589	0.0466767279689706	Short Survivor Screening vs. Short Survivor PC2
HPGDS	76.0625243526939	-2.22767624290998	0.00646965033281952	Short Survivor Screening vs. Short Survivor PC2
ITGA9	377.713385302833	-2.00970342300256	0.011271538102562	Short Survivor Screening vs. Short Survivor PC2
